"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"10/07/2026","18.050,0","18.080,0","18.087,5","18.050,0","","-0,14%"
"13/07/2026","18.105,0","18.082,5","18.142,5","18.082,5","","0,30%"
"14/07/2026","18.085,0","18.105,0","18.109,0","18.077,5","","-0,11%"
"15/07/2026","18.065,0","18.075,0","18.088,5","18.045,0","","-0,11%"
"16/07/2026","17.985,0","18.065,0","18.080,0","17.977,5","","-0,44%"
"17/07/2026","17.890,0","17.985,0","17.990,0","17.890,0","","-0,53%"
"20/07/2026","17.935,0","17.975,0","17.995,5","17.935,0","","0,25%"
"21/07/2026","17.885,0","17.935,0","17.952,5","17.867,5","","-0,28%"
"22/07/2026","17.880,0","17.930,0","17.937,5","17.875,0","","-0,03%"
"23/07/2026","17.895,0","17.930,0","17.939,0","17.885,0","","0,08%"
"24/07/2026","17.940,0","17.945,0","17.981,5","17.932,5","","0,25%"
"27/07/2026","18.005,0","17.970,0","18.010,0","17.959,5","","0,36%"
"28/07/2026","18.060,0","18.062,5","18.096,5","18.057,5","","0,31%"
"29/07/2026","18.050,0","18.095,0","18.107,5","18.050,0","","-0,06%"
"30/07/2026","18.080,0","18.065,0","18.097,5","18.054,5","","0,17%"
"31/07/2026","17.994,0","18.070,0","18.086,5","17.991,5","","-0,48%"
"03/08/2026","17.985,0","17.990,0","18.012,5","17.962,5","","-0,05%"
"04/08/2026","18.020,0","18.020,0","18.047,5","18.010,0","","0,19%"
"05/08/2026","17.930,0","17.967,0","17.975,0","17.907,5","","-0,50%"
"06/08/2026","17.915,0","17.925,0","17.936,0","17.896,5","","-0,08%"
"07/08/2026","17.890,0","17.927,5","17.944,0","17.875,0","","-0,14%"
"10/08/2026","17.755,0","17.810,0","17.829,0","17.737,5","","-0,75%"
"11/08/2026","17.835,0","17.790,0","17.852,5","17.785,0","","0,45%"
"12/08/2026","17.870,0","17.854,5","17.887,5","17.850,5","","0,20%"
"13/08/2026","17.865,0","17.877,5","17.892,5","17.862,0","","-0,03%"
"14/08/2026","17.825,0","17.880,0","17.880,0","17.815,0","","-0,22%"
"17/08/2026","17.825,0","17.825,0","17.825,0","17.825,0","","0,00%"
"18/08/2026","17.855,0","17.845,0","17.865,0","17.830,0","","0,17%"
"19/08/2026","17.830,0","17.855,0","17.871,5","17.825,0","","-0,14%"
"20/08/2026","17.742,5","17.815,0","17.821,0","17.740,0","","-0,49%"
"21/08/2026","17.754,6","17.731,1","17.773,3","17.738,1","","0,07%"
